time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444800000	9.98511	1.40228	7.92378	0.505245	1.44855	lidar	1.29445e-321	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.2981	1.59024	7.92378	0.577672	1.44855	radar	1.39069e-309	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3195	1.51703	5.08232	0.500706	0.862976	lidar	1.29445e-321	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.5272	1.63611	5.08232	0.543855	0.862976	radar	1.39069e-309	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.7288	1.51335	4.14448	0.251603	-0.621176	lidar	1.29445e-321	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	10.9141	1.55768	4.14448	0.220545	-0.621176	radar	1.39069e-309	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.49	1.61051	7.15055	0.0107321	-1.28353	lidar	1.29445e-321	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.8106	1.60384	7.15055	-0.0534443	-1.28353	radar	1.39069e-309	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8395	1.7284	5.19729	0.103345	-0.436019	lidar	1.29445e-321	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.0819	1.74995	5.19729	0.0815444	-0.436019	radar	1.39069e-309	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3205	1.77997	5.27343	0.0830593	-0.338228	lidar	1.29445e-321	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.5633	1.79725	5.27343	0.0661479	-0.338228	radar	1.39069e-309	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.6277	2.11109	4.21924	0.578796	1.91508	lidar	1.29445e-321	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	12.7847	2.2243	4.21924	0.674551	1.91508	radar	1.39069e-309	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.0539	2.3943	5.32576	0.727903	1.69654	lidar	1.29445e-321	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.2269	2.5595	5.32576	0.812729	1.69654	radar	1.39069e-309	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7586	2.62937	7.03454	0.332942	-0.553794	lidar	1.29445e-321	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	14.0635	2.72962	7.03454	0.305252	-0.553794	radar	1.39069e-309	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.2327	2.93031	6.53223	0.487414	0.27834	lidar	1.29445e-321	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.5013	3.07437	6.53223	0.501331	0.27834	radar	1.39069e-309	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.5212	2.96247	4.02527	0.346166	-0.434166	lidar	1.29445e-321	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.6985	3.02333	4.02527	0.324458	-0.434166	radar	1.39069e-309	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	14.9984	3.40745	5.9314	0.787178	1.64868	lidar	1.29445e-321	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.1792	3.60381	5.9314	0.869612	1.64868	radar	1.39069e-309	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4898	3.8164	6.9541	0.797966	0.981766	lidar	1.29445e-321	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7074	4.04981	6.9541	0.847054	0.981766	radar	1.39069e-309	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.977	4.04238	5.99148	0.602448	-0.232273	lidar	1.29445e-321	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.2083	4.19994	5.99148	0.590834	-0.232273	radar	1.39069e-309	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.347	4.42968	5.88458	0.748061	0.49965	lidar	1.29445e-321	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5442	4.61746	5.88458	0.773044	0.49965	radar	1.39069e-309	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6283	4.69816	4.79115	0.785036	0.458739	lidar	1.29445e-321	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.7831	4.85597	4.79115	0.807973	0.458739	radar	1.39069e-309	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9802	5.17082	6.03326	0.95793	0.983006	lidar	1.29445e-321	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1325	5.39897	6.03326	1.00708	0.983006	radar	1.39069e-309	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.2911	5.46713	5.18547	0.889087	0.309979	lidar	1.29445e-321	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.44	5.65431	5.18547	0.904586	0.309979	radar	1.39069e-309	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7498	5.66	4.96751	0.527957	-1.31297	lidar	1.29445e-321	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.9495	5.76873	4.96751	0.462308	-1.31297	radar	1.39069e-309	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.1251	6.11175	5.95459	0.784569	0.320876	lidar	1.29445e-321	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.3146	6.30442	5.95459	0.800613	0.320876	radar	1.39069e-309	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2567	6.64105	5.47315	1.23892	2.05016	lidar	1.29445e-321	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.327	6.88298	5.47315	1.34143	2.05016	radar	1.39069e-309	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5172	6.8275	3.76499	1.06371	0.546041	lidar	1.29445e-321	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.5987	6.97962	3.76499	1.09101	0.546041	radar	1.39069e-309	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	19.0371	7.17695	5.44536	0.513446	-1.84772	lidar	1.29445e-321	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.2528	7.28768	5.44536	0.42106	-1.84772	radar	1.39069e-309	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0903	7.80074	4.64241	1.31245	2.01163	lidar	1.29445e-321	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.1333	8.00683	4.64241	1.41304	2.01163	radar	1.39069e-309	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.1373	8.144	4.14658	1.50768	2.02872	lidar	1.29445e-321	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.1404	8.33022	4.14658	1.60911	2.02872	radar	1.39069e-309	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.3022	8.34327	3.03408	1.34257	0.616846	lidar	1.29445e-321	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.3305	8.47591	3.03408	1.37342	0.616846	radar	1.39069e-309	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.8381	8.841	5.50487	0.369583	-3.17341	lidar	1.29445e-321	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	20.0667	8.91137	5.50487	0.210912	-3.17341	radar	1.39069e-309	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	20.1713	9.3816	6.1072	0.892903	0.119795	lidar	1.29445e-321	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.342	9.59579	6.1072	0.898892	0.119795	radar	1.39069e-309	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.2084	9.90345	5.09173	1.34292	1.85031	lidar	1.29445e-321	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.2514	10.1342	5.09173	1.43544	1.85031	radar	1.39069e-309	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1847	10.4467	5.60405	1.70824	2.57059	lidar	1.29445e-321	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1334	10.6964	5.60405	1.83677	2.57059	radar	1.39069e-309	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.3207	10.9951	5.82718	1.49579	0.614381	lidar	1.29445e-321	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.3358	11.2624	5.82718	1.5265	0.614381	radar	1.39069e-309	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3203	11.3789	4.82271	1.58791	0.710257	lidar	1.29445e-321	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.3117	11.6021	4.82271	1.62342	0.710257	radar	1.39069e-309	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.5524	11.917	5.53338	1.20836	-1.18244	lidar	1.29445e-321	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.6491	12.1508	5.53338	1.14923	-1.18244	radar	1.39069e-309	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3961	12.4768	5.40941	1.72417	1.46076	lidar	1.29445e-321	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3487	12.7207	5.40941	1.79721	1.46076	radar	1.39069e-309	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.4622	12.9025	4.94056	1.58581	0.307647	lidar	1.29445e-321	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.4575	13.1295	4.94056	1.60119	0.307647	radar	1.39069e-309	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2405	13.2001	3.967	1.99366	1.84681	lidar	1.29445e-321	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.1582	13.3618	3.967	2.086	1.84681	radar	1.39069e-309	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2636	13.81	5.46451	1.588	-0.584365	lidar	1.29445e-321	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.2643	14.0544	5.46451	1.55878	-0.584365	radar	1.39069e-309	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1447	14.3248	5.89249	1.74989	0.308472	lidar	1.29445e-321	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0948	14.59	5.89249	1.76531	0.308472	radar	1.39069e-309	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.8194	14.7823	5.79522	2.14627	1.79824	lidar	1.29445e-321	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.6641	15.0012	5.79522	2.23618	1.79824	radar	1.39069e-309	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.9287	15.2127	4.05461	1.73532	-0.661841	lidar	1.29445e-321	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.9019	15.3978	4.05461	1.70223	-0.661841	radar	1.39069e-309	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.9061	15.5575	3.90019	1.63172	-0.823522	lidar	1.29445e-321	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.8984	15.7324	3.90019	1.59055	-0.823522	radar	1.39069e-309	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5669	15.9874	4.83511	2.2402	1.90266	lidar	1.29445e-321	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4258	16.1495	4.83511	2.33533	1.90266	radar	1.39069e-309	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2465	16.2738	4.94009	2.50437	2.18168	lidar	1.29445e-321	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.062	16.398	4.94009	2.61346	2.18168	radar	1.39069e-309	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.986	16.7808	5.58765	2.20806	0.161897	lidar	1.29445e-321	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.835	16.9842	5.58765	2.21615	0.161897	radar	1.39069e-309	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
